tamanho,tipo,algoritmo,tempo_s,ordenado
1000,aleatorio,insertion,0.000791,1
1000,aleatorio,mergesort2,0.000371,1
1000,aleatorio,quicksort,0.000116,1
1000,crescente,insertion,0.000006,1
1000,crescente,mergesort2,0.000305,1
1000,crescente,quicksort,0.003424,1
1000,decrescente,insertion,0.001738,1
1000,decrescente,mergesort2,0.000383,1
1000,decrescente,quicksort,0.001873,1
5000,aleatorio,insertion,0.019115,1
5000,aleatorio,mergesort2,0.002218,1
5000,aleatorio,quicksort,0.000627,1
5000,crescente,insertion,0.000020,1
5000,crescente,mergesort2,0.001442,1
5000,crescente,quicksort,0.062200,1
5000,decrescente,insertion,0.037528,1
5000,decrescente,mergesort2,0.001683,1
5000,decrescente,quicksort,0.040121,1
10000,aleatorio,insertion,0.076900,1
10000,aleatorio,mergesort2,0.003983,1
10000,aleatorio,quicksort,0.001451,1
10000,crescente,insertion,0.000039,1
10000,crescente,mergesort2,0.003006,1
10000,crescente,quicksort,0.264611,1
10000,decrescente,insertion,0.155807,1
10000,decrescente,mergesort2,0.003133,1
10000,decrescente,quicksort,0.161996,1
